match_id,gamer_id,round1_name,round1_type,round1_win,round2_name,round2_type,round2_win,round3_name,round3_type,round3_win,round4_name,round4_type,round4_win,round5_name,round5_type,round5_win,round6_name,round6_type,round6_win,crown,date_played
16,5,Door Dash,Race,t,Dizzy Heights,Race,t,Jump Club,Survival,t,Tip Toe,Race,f,,,,,,,f,2020-08-13
1,5,The Whirlygig,Race,t,Gate Crash,Race,f,,,,,,,,,,,,,f,2020-08-06
33,5,Door Dash,Race,t,Dizzy Heights,Race,t,Fruit Chute,Race,t,Fall Mountain,Final,f,,,,,,,f,2020-08-14
2,5,The Whirlygig,Race,t,Perfect Match,Logic,t,Fruit Chute,Race,f,,,,,,,,,,f,2020-08-06
42,5,Dizzy Heights,Race,t,Hoarders,Team,f,,,,,,,,,,,,,f,2020-08-14
17,5,See Saw,Race,t,Hoarders,Team,t,Rock n Roll,Team,t,Tip Toe,Race,t,Hex-a-Gone,Final,f,,,,f,2020-08-13
25,5,Gate Crash,Race,t,Door Dash,Race,t,Perfect Match,Logic,t,Tail Tag,Hunt,t,Jump Showdown,Final,f,,,,f,2020-08-13
4,5,Slime Climb,Race,f,,,,,,,,,,,,,,,,f,2020-08-06
34,5,Gate Crash,Race,t,Tail Tag,Team,f,,,,,,,,,,,,,f,2020-08-14
26,5,Gate Crash,Race,t,Tail Tag,Team,t,Perfect Match,Logic,t,Block Party,Survival,t,Hex-a-Gone,Final,f,,,,f,2020-08-13
5,5,Door Dash,Race,t,Hoarders,Team,t,Fruit Chute,Race,f,,,,,,,,,,f,2020-08-06
6,5,Gate Crash,Race,t,Fruit Chute,Race,t,Rock n Roll,Team,f,,,,,,,,,,f,2020-08-06
18,5,Dizzy Heights,Race,t,Slime Climb,Race,t,Fall Ball,Team,t,Jump Showdown,Final,f,,,,,,,f,2020-08-13
14,5,Door Dash,Race,t,Roll Out,Survival,t,Perfect Match,Logic,t,Tail Tag,Hunt,t,Hex-a-Gone,Final,t,,,,t,2020-08-06
7,5,The Whirlygig,Race,t,Door Dash,Race,t,Perfect Match,Logic,t,Block Party,Survival,t,Fall Mountain,Final,f,,,,f,2020-08-06
8,5,Slime Climb,Race,t,Hex-a-Gone,Final,f,,,,,,,,,,,,,f,2020-08-06
35,5,Gate Crash,Race,t,Door Dash,Race,t,Jump Club,Survival,f,,,,,,,,,,f,2020-08-14
9,5,Hit Parade,Race,t,Hoarders,Team,t,Jump Club,Survival,t,Fall Mountain,Final,t,,,,,,,t,2020-08-06
10,5,Hit Parade,Race,t,Hoarders,Team,f,,,,,,,,,,,,,f,2020-08-06
43,5,Gate Crash,Race,t,Jinxed,Team,f,,,,,,,,,,,,,f,2020-08-14
20,5,Dizzy Heights,Race,t,Perfect Match,Logic,f,,,,,,,,,,,,,f,2020-08-13
11,5,Gate Crash,Race,t,Hoarders,Team,t,Jump Club,Survival,t,Block Party,Survival,f,,,,,,,f,2020-08-06
28,5,Door Dash,Race,t,Hoarders,Team,t,Jump Club,Survival,t,Tip Toe,Race,f,,,,,,,f,2020-08-14
12,5,The Whirlygig,Race,t,Slime Climb,Race,t,Fall Ball,Team,t,Royal Fumble,Final,f,,,,,,,f,2020-08-06
13,5,Dizzy Heights,Race,t,Egg Scramble,Team,f,,,,,,,,,,,,,f,2020-08-06
44,5,The Whirlygig,Race,f,,,,,,,,,,,,,,,,f,2020-08-14
21,5,Door Dash,Race,t,Perfect Match,Logic,t,Roll Out,Survival,t,Hoopsie Daisy,Team,t,Fall Mountain,Final,t,,,,t,2020-08-13
36,5,See Saw,Race,t,Roll Out,Survival,t,Rock n Roll,Team,t,Block Party,Survival,t,Jump Showdown,Final,f,,,,f,2020-08-14
29,5,Hit Parade,Race,t,Tail Tag,Team,t,Fruit Chute,Race,t,Hoopsie Daisy,Team,t,Fall Mountain,Final,t,,,,f,2020-08-14
